Codice_ateco,Descrizione_ateco
32.1,"32.1 - FABBRICAZIONE DI GIOIELLERIA, BIGIOTTERIA E ARTICOLI CONNESSI; LAVORAZIONE DELLE PIETRE PREZIOSE"
32.11,32.11 - Coniazione di monete
32.11.0,32.11.0 - Coniazione di monete
32.11.0,32.11.00 - Coniazione di monete
32.12,32.12 - Fabbricazione di oggetti di gioielleria e oreficeria e articoli connessi
32.12.1,32.12.1 - Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi
32.12.10,32.12.10 - Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi
32.12.2,32.12.2 - Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale
32.12.20,32.12.20 - Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale
32.13,32.13 - Fabbricazione di bigiotteria e articoli simili
32.13,32.13.0 - Fabbricazione di bigiotteria e articoli simili
32.13.1,32.13.01 - Fabbricazione di cinturini metallici per orologi (esclusi quelli in metalli preziosi)
32.13.9,32.13.09 - Fabbricazione di bigiotteria e articoli simili nca
32.2,32.2 - FABBRICAZIONE DI STRUMENTI MUSICALI
32.20,32.20 - Fabbricazione di strumenti musicali
32.20.0,32.20.0 - Fabbricazione di strumenti musicali (incluse parti e accessori)
32.20.0,32.20.00 - Fabbricazione di strumenti musicali (incluse parti e accessori)
32.3,32.3 - FABBRICAZIONE DI ARTICOLI SPORTIVI
32.30,32.30 - Fabbricazione di articoli sportivi
32.30,32.30.0 - Fabbricazione di articoli sportivi
32.30,32.30.00 - Fabbricazione di articoli sportivi
32.4,32.4 - FABBRICAZIONE DI GIOCHI E GIOCATTOLI
32.40,32.40 - Fabbricazione di giochi e giocattoli
32.40.1,32.40.1 - Fabbricazione di giochi (inclusi i giochi elettronici)
32.40.10,32.40.10 - Fabbricazione di giochi (inclusi i giochi elettronici)
32.40.2,32.40.2 - Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo)
32.40.20,32.40.20 - Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo)
32.5,32.5 - FABBRICAZIONE DI STRUMENTI E FORNITURE MEDICHE E DENTISTICHE
32.50,32.50 - Fabbricazione di strumenti e forniture mediche e dentistiche
32.50.1,"32.50.1 - Fabbricazione di mobili per uso medico, apparecchi medicali, di materiale medicochirurgico e veterinario, di apparecchi e strumenti per odontoiatria (incluse parti staccate e accessori)"
32.50.11,32.50.11 - Fabbricazione di materiale medico-chirurgico e veterinario
32.50.12,32.50.12 - Fabbricazione di apparecchi e strumenti per odontoiatria e di apparecchi medicali (incluse parti staccate e accessori)
32.50.13,"32.50.13 - Fabbricazione di mobili per uso medico, chirurgico, odontoiatrico e veterinario"
32.50.14,32.50.14 - Fabbricazione di centrifughe per laboratori
32.50.2,32.50.2 - Fabbricazione di protesi dentarie (inclusa riparazione)
32.50.20,32.50.20 - Fabbricazione di protesi dentarie (inclusa riparazione)
32.50.3,"32.50.3 - Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)"
32.50.30,"32.50.30 - Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)"
32.50.4,32.50.4 - Fabbricazione di lenti oftalmiche
32.50.40,32.50.40 - Fabbricazione di lenti oftalmiche
32.50.5,32.50.5 - Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni
32.50.50,32.50.50 - Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni
32.9.,32.9 - INDUSTRIE MANIFATTURIERE NCA
32.91,32.91 - Fabbricazione di scope e spazzole
32.91.0,32.91.0 - Fabbricazione di scope e spazzole
32.91.0,32.91.00 - Fabbricazione di scope e spazzole
32.99.,32.99 - Altre industrie manifatturiere nca
32.99.1,32.99.1 - Fabbricazione di attrezzature ed articoli di vestiario protettivi di sicurezza
32.99.11,32.99.11 - Fabbricazione di articoli di vestiario ignifughi e protettivi di sicurezza
32.99.12,32.99.12 - Fabbricazione di articoli in plastica per la sicurezza personale
32.99.13,32.99.13 - Fabbricazione di articoli in metallo per la sicurezza personale
32.99.14,32.99.14 - Fabbricazione di maschere antigas
32.99.19,32.99.19 - Fabbricazione di altre attrezzature ed altri articoli protettivi di sicurezza
32.99.2,"32.99.2 - Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini"
32.99.20,"32.99.20 - Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini"
32.99.3,32.99.3 - Fabbricazione di oggetti di cancelleria
32.99.30,32.99.30 - Fabbricazione di oggetti di cancelleria
32.99.4,32.99.4 - Fabbricazione di casse funebri
32.99.40,32.99.40 - Fabbricazione di casse funebri
32.99.9,32.99.9 - Fabbricazione di altri articoli nca
32.99.90,32.99.90 - Fabbricazione di altri articoli nca
41,41 - COSTRUZIONE DI EDIFICI
